developer,votes
Valve,2016604
Ubisoft Montreal,282446
Smartly Dressed Games,261092
OVERKILL - a Starbreeze Studio.,252134
Re-Logic,247803
"Psyonix, Inc.",220745
Digital Extremes,217272
Rockstar North,190472
Facepunch Studios,166661
Bohemia Interactive,153386
Evil Mojo Games,137173
Tripwire Interactive,129694
"CAPCOM Co., Ltd.",117304
id Software,106794
New World Interactive,102890
Endnight Games Ltd,101579
Obsidian Entertainment,100920
The Behemoth,98978
Behaviour Digital Inc.,95653
"FromSoftware, Inc.",90459
TaleWorlds Entertainment,78840
Arkane Studios,78407
Techland,76494
"Nicalis, Inc.",71342
Chucklefish,66346
Avalanche Studios,65947
Grinding Gear Games,65476
Dennaton Games,64503
Gaijin Entertainment,62271
Blue Mammoth Games,58779
Capcom,54589
Red Barrels,53240
Keen Software House,52364
Free Lives,52224
Treyarch,51643
Supergiant Games,51639
Volition,51343
RobTop Games,49747
Deep Silver Volition,49690
Freejam,49610
"FromSoftware, Inc",47879
The Fun Pimps,43813
No More Room in Hell Team,42443
Edmund McMillen and Florian Himsl,41304
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",40709
Rebellion,40588
Torn Banner Studios,40560
Trion Worlds,40531
Hopoo Games,40297
4A Games,38475
Croteam,38381
Team Cherry,38240
Frictional Games,37545
Running With Scissors,37243
Studio MDHR Entertainment Inc.,37123
Remedy Entertainment,37074
Ubisoft,37052
Rockstar Games,36707
Daybreak Game Company,35699
Ninja Theory,35340
Stunlock Studios,35320
DICE,34755
Konami Digital Entertainment,34676
Arrowhead Game Studios,34381
Splash Damage,34014
OVERKILL Software,32112
Crytek,31812
RETO MOTO,31440
Machine Games,30987
Starbreeze Studios AB,29981
Runic Games,29861
YAGER,29748
Flying Wild Hog,29260
Frozenbyte,28469
Pandemic Studios,26932
Aurora Studio,26555
Terry Cavanagh,25632
Titan Forge Games,25619
Fatshark,25583
GSC Game World,24818
Motion Twin,24599
Massive Entertainment,24225
Crate Entertainment,24200
Dodge Roll,23777
SEGA,23575
Monomi Park,23240
NS STUDIO,22614
Scott Cawthon,22329
CD PROJEKT RED,22163
Landfall West,22052
CyberConnect2 Co. Ltd.,21607
Fistful of Frags Team,21404
BANDAI NAMCO Studios Inc.,21036
Warhorse Studios,20717
