developer,votes
Smartly Dressed Games,261092
Re-Logic,247803
Rockstar North,189753
Facepunch Studios,166661
Valve,136329
Klei Entertainment,105729
Endnight Games Ltd,101579
The Behemoth,94262
Unknown Worlds Entertainment,88368
Ubisoft Montreal,83410
Chucklefish,66346
Grinding Gear Games,65476
Avalanche Studios,63585
Arkane Studios,56151
Red Barrels,53240
Freebird Games,52127
Larian Studios,51081
Deep Silver Volition,49146
Telltale Games,48424
Playdead,47053
Capcom,45897
11 bit studios,44687
Free Lives,44633
The Fun Pimps,43813
Bohemia Interactive,42356
Hinterland Studio Inc.,41558
Edmund McMillen and Florian Himsl,41304
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",40709
Obsidian Entertainment,40105
Team Cherry,38240
Playsaurus,38238
Frictional Games,37545
"CAPCOM Co., Ltd.",37396
Ubisoft,36377
Ninja Theory,35313
Konami Digital Entertainment,34670
Running With Scissors,34391
Trion Worlds,33847
Starbreeze Studios AB,29981
Runic Games,29861
YAGER,29748
Soviet Games,29692
Galactic Cafe,28692
Lucas Pope,28314
Double Fine Productions,27614
Campo Santo,27362
Frozenbyte,26912
Flying Wild Hog,26691
No Brakes Games,25693
Kyle Seeley,25452
Massive Entertainment,24225
Crate Entertainment,24200
Dodge Roll,23777
Daedalic Entertainment,23292
Monomi Park,23240
System Era Softworks,23129
Remedy Entertainment,22929
VRChat Inc.,22495
CyberConnect2 Co. Ltd.,21607
KAGAMI WORKs,20772
Warhorse Studios,20717
Rocksteady Studios,20592
NantG,19770
Rebellion,19356
Harebrained Schemes,18992
FromSoftware,18485
DONTNOD Entertainment,18474
Fireproof Games,18310
Funcom,17779
Team Psykskallar,17493
Croteam,16452
Gone North Games,16282
Big Corporation,15827
ConchShip Games,15665
Ubisoft Montpellier,15547
DICE,15539
Frontier Developments,15403
FantaBlade Network,15351
Monolith Productions,15119
Bloober Team SA,14742
Spiral Game Studios,14499
Humble Hearts LLC,14439
Giant Squid,14401
Playful Corp.,14322
Oovee® Game Studios,14077
Cellar Door Games,13787
Gears for Breakfast,13727
Eko Software,13689
"Grey Havens, LLC",13404
Cryptic Studios,13220
Crowbar Collective,13114
Axolot Games,12420
"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",12342
Muse Games,12070
Sukeban Games,12054
Pathea Games,11705
Alexander Bruce,11620
Amanita Design,11559
Expansive Worlds,11408
Dominique Grieshofer,11347
Traveller's Tales,10779
Little Cat Feet,10765
Everything Unlimited Ltd.,10755
Hunter Studio,10538
Heart Machine,10306
HL-Galgame,10266
Mouldy Toof Studios,10213
Bankroll Studios,10212
Beam Team Games,10145
SEGA,10121
Giant Sparrow,10067
Fullbright,9941
Might and Delight,9877
Warm Lamp Games,9649
Dieselmine,9381
Entrada Interactive LLC,9352
Yacht Club Games,9108
PUBG Corporation,9108
Total Mayhem Games,8800
Redbeet Interactive,8400
Keen Games,8306
Lag Studios,8305
FIVE-BN GAMES,8302
Eleon Game Studios,8284
Tango Gameworks,8081
Ubisoft Toronto,8034
PlatinumGames,8023
Image & Form Games,7711
Boneloaf,7559
Blue Isle Studios,7541
NeocoreGames,7532
Daybreak Game Company,7484
Dingaling,7106
Jesse Makkonen,7084
5th Cell Media,7070
Artifex Mundi,7069
MAGES. Inc.,7065
Matt Makes Games Inc.,7033
Rooster Teeth Games,7014
Airtight Games,6999
inXile Entertainment,6968
Hello Games,6956
Osmotic Studios,6749
Rockstar New England,6740
DrinkBox Studios,6722
"Tequila Works, S.L.",6683
WayForward,6662
Tarsier Studios,6588
Pocketwatch Games,6488
SmashGames,6392
AMPLITUDE Studios,6377
Infinite Fall,6368
Kojima Productions,6261
Young Horses,6206
Shiro Games,6076
Night School Studio,6074
Crystal Dynamics,6070
The Astronauts,6068
Almost Human Games,6012
Radical Entertainment,5965
Tomorrow Corporation,5944
RedCandleGames,5852
MiniBoss,5721
Playa Games GmbH,5698
"Monochrome, Inc",5655
Rusty Lake,5577
Bombservice,5541
Weappy Studio,5519
Nomada Studio,5505
"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",5457
Compulsion Games,5411
League of Geeks,5392
LucasArts,5304
"Thekla, Inc.",5290
Matt Dabrowski,5215
Frogwares,5123
Piranha Bytes,4961
Thing Trunk,4923
Thunder Lotus Games,4907
Shiver Games,4896
"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",4812
Bossa Studios,4769
Killmonday Games AB,4704
Nerial,4690
Failbetter Games,4666
Buried Signal,4610
Pearl Abyss,4578
Crackshell,4526
"Spike Chunsoft Co., Ltd.",4526
House On Fire,4380
高考恋爱委员会,4377
Robot Gentleman,4376
Blind Sky Studios,4351
Moppin,4337
PixelTail Games,4307
Sam Barlow,4307
"Reflections, a Ubisoft Studio",4296
YETU GAME,4274
Double Damage Games,4219
Lonely Troops,4190
Spearhead Games,4188
X-Legend,4133
Lionhead Studios,4020
Oddworld Inhabitants,3957
Matt Roszak,3940
Nihon Falcom,3938
Afterthought LLC,3888
Haemimont Games,3882
IronOak Games,3870
Abrakam SA,3801
"Dragonfly GF Co., LTD",3791
搞快点工作室,3755
Necrophone Games,3743
"EQ-Games , Pixel Dash Studios",3732
Harvester Games,3685
VisualArts/Key,3664
Acid Wizard Studio,3618
Arrowhead Game Studios,3590
Pieces Interactive,3571
like Charlie,3557
CtrlMovie,3534
ThankCreate Studio,3473
Fishing Cactus,3472
Contingent99,3455
AsicxArt,3453
Brilliant Skies Ltd.,3440
Deconstructeam,3438
Nexon Korea Corporation,3393
Pixel Ferrets,3388
NEXT Studios,3372
Lince Works,3357
Colibri Games,3356
"What Pumpkin Games, Inc.",3353
Big Fat Alien,3305
MoeNovel,3303
Krillbite Studio,3289
LR Studio,3276
Lazy Bear Games,3261
Senscape,3251
KOG,3244
Ankama Studio,3240
the whale husband,3211
Against Gravity®,3206
Titan Studio,3196
Fenix Fire Entertainment,3184
WMY Studio,3166
"CyberConnect2 Co., Ltd.",3157
Camex Games,3130
Sloclap,3112
Okomotive,3093
Michael Zahniser,3054
Wadjet Eye Games,3048
Suspicious Developments,3027
Bluebutton Games,2990
D-Pad Studio,2987
TPP Studio,2987
Asymmetric,2965
ONEONE1,2914
Core Design,2900
Thomas Happ Games LLC,2897
MercurySteam - Climax Studios,2874
Microids,2813
Capcom Vancouver,2790
Krome Studios,2785
Humongous Entertainment,2780
"Eek! Games, LLC",2736
Revolution Software Ltd,2677
Sirhaian,2665
FreakZone Games,2658
DigitalDNA Games LLC,2647
ACQUIRE Corp.,2641
Cyanide Studio,2640
RedRuins Softworks,2638
Netcore Games,2615
Over The Moon,2585
Level-5,2582
Acid Nerve,2575
The Chinese Room,2567
WeMade,2565
Vaclav Hudec,2565
Minskworks,2551
07th Expansion,2527
Bulkhead Interactive,2526
MercurySteam,2522
Alientrap,2508
Red Dwarf Games,2498
The Molasses Flood,2473
Athena Works,2470
O.T.K Games,2469
David Szymanski,2444
Frontwing,2425
Sos Sosowski,2419
Room710Games,2411
Elecorn,2409
Fabio Ferrara,2363
Rake in Grass,2361
TT Games,2301
CD PROJEKT RED,2299
The Gentlebros,2295
ALICE IN DISSONANCE,2272
Silent Dreams,2271
Minority Media Inc.,2270
Red Thread Games,2267
Agafonoff,2229
Infinity Plus 2,2210
Codename Entertainment Inc.,2209
Dream Works,2204
Digital Sun,2202
devCAT,2186
minori,2160
AQURIA,2153
Code}{atch,2131
Laura Shigihara,2129
Rati Wattanakornprasit,2116
OVERDRIVE,2084
BeautiFun Games,2044
PixelFade Inc,2027
Blackpowder Games,2023
Somi,2017
深爪貴族,2008
Indimo Labs LLC,2000
KING Art,1999
Bare Mettle Entertainment,1998
2Play,1992
Digital Happiness,1986
Animu Game,1979
橘子班,1957
JIW-Games,1952
SeithCG,1946
Farsky Interactive,1943
Heluo Studio,1934
Gunfire Games,1934
No Code,1894
Shawn Hitchcock,1893
Abbey Games,1863
Terrible Toybox,1823
Wormwood Studios,1814
Home Net Games,1808
Cosmic Cow LLC,1805
Ilex Games,1802
The Odd Gentlemen,1797
Snail Games USA,1789
Winged Cloud,1786
WEBZEN Inc.,1785
Leafy Games,1777
Steve Gabry,1769
Gaming Corps AB,1766
Google,1764
"Vblank Entertainment, Inc.",1762
Black Shell Games,1755
Acke Hallgren,1746
Ratloop Asia,1745
Tasharen Entertainment Inc.,1745
"Just Add Water (Developments), Ltd.",1736
MyACG Studio,1733
Ludosity,1724
Wyrmbyte,1720
OhNoo Studio,1714
HypeTrain Digital,1694
Beamdog,1661
Dreamworlds,1656
StevenHarmonGames,1654
ProjectorGames,1650
Milkstone Studios,1648
Wet Girl,1644
Playtonic Games,1643
Boss Key Productions,1638
Knuist & Perzik,1626
Creability,1615
kikiyama,1613
Section Studios,1604
sparsevector,1598
"INTI CREATES CO., LTD.",1595
JoWooD Vienna,1588
"Artix Entertainment, LLC",1584
Baggy Cat Ltd,1583
Cross-Product,1581
Idol FX,1568
9heads Game Studios,1564
The Game Kitchen,1557
Illusion Softworks,1547
Zootfly,1547
@unepic_fran,1545
Climax Studios,1539
猫薄荷制作组,1537
CreativeForge Games,1530
Maschinen-Mensch,1508
Tribute Games Inc.,1502
Rabbiton,1498
Hollowings,1496
Ovosonico,1495
Magenta Factory,1495
Stage 2 Studios,1494
"Move Games Co., Ltd.",1491
Tortuga Team,1487
NIGORO,1485
WOLCEN Studio,1481
Mi'pu'mi Games GmbH,1470
Nearga,1470
Pipliz,1470
