developer,votes
Valve,720864
Paradox Development Studio,122186
Bohemia Interactive,112312
New World Interactive,93965
Colossal Order Ltd.,61805
Keen Software House,52469
Larian Studios,51924
Wube Software LTD.,47195
Subset Games,45831
The Fun Pimps,43813
Hinterland Studio Inc.,41558
Frontier Developments,40077
Playsaurus,38238
Ludeon Studios,37699
Red Hook Studios,34803
CREATIVE ASSEMBLY,33929
Introversion Software,32876
Greenheart Games,25937
Mega Crit Games,25168
AMPLITUDE Studios,24751
11 bit studios,23642
Shining Rock Software LLC,21833
Relic Entertainment,19580
Ndemic Creations,18662
Robot Entertainment,17830
Harebrained Schemes,17774
Haemimont Games,17564
Ronimo Games,17560
Offworld Industries,17531
HuniePot,17050
"PopCap Games, Inc.",16800
Trendy Entertainment,16725
ConchShip Games,15665
Digitalmindsoft,15472
Team17 Digital Ltd,14042
Coffee Stain Studios,13714
Eugen Systems,13346
Suspicious Developments,13140
Ensemble Studios,12958
Funcom,12470
Berserk Games,12466
BetaDwarf,11983
BlankMediaGames,11217
Stoic,10996
Realmforge Studios,10651
Double Fine Productions,10612
Gas Powered Games,10483
Mouldy Toof Studios,10197
kChamp Games,10162
Shiro Games,9900
Orange_Juice,9811
Awesome Games Studio,9757
Stainless Games Ltd.,9687
Warm Lamp Games,9649
Nabi Studios,9580
FireFly Studios,9467
Numantian Games,9456
Entrada Interactive LLC,9352
SEGA,9234
Mimimi Productions,9106
Petroglyph,9044
Ninja Kiwi,9031
Ironhide Game Studio,8354
Lo-Fi Games,8341
Eleon Game Studios,8284
Mastfire Studios Pty Ltd,7985
Pocketwatch Games,7912
Beamdog,7298
Dinosaur Polo Club,7176
5th Cell Media,7070
Unknown Worlds Entertainment,6874
Matthew Brown,6659
Konami Digital Entertainment,6387
Carbon Games,6338
EA Los Angeles,6279
Stardock Entertainment,6269
inXile Entertainment,6227
Number None,6143
Dekovir Entertainment,5962
Scott Cawthon,5841
Playa Games GmbH,5698
Weappy Studio,5519
Hanako Games,5510
KillHouse Games,5485
CCP,5485
League of Geeks,5392
"Lion Shield, LLC",5261
Vertigo Gaming Inc.,5238
Clapfoot,5205
Firaxis Games,5204
Nival,5007
Madruga Works,4955
The Behemoth,4716
Game-Labs,4614
Pearl Abyss,4578
Chris Sawyer Productions,4573
Creobit,4549
Abbey Games,4515
Overhype Studios,4472
Positech Games,4472
GSC Game World,4443
Hidden Path Entertainment,4419
Lazy Bear Games,4402
Robot Gentleman,4376
The Bearded Ladies,4352
Planetary Annihilation Inc,3998
U-Play Online,3927
Noio,3878
IronOak Games,3870
Triumph Studios,3850
Abrakam SA,3801
"Dragonfly GF Co., LTD",3791
Playsport Games,3790
KK Game Studio,3763
Game Science,3689
Klei Entertainment,3637
DolphinBarn,3625
"Cygames, Inc.",3575
Ankama Studio,3567
Blue Wizard Digital,3559
Radiant Entertainment,3523
Brilliant Skies Ltd.,3440
ACE Team,3435
Stainless Games,3367
MinMax Games Ltd.,3343
Runner Duck,3323
Brightrock Games,3195
Camex Games,3130
Trion Worlds,3129
Fakt Software,3103
Bluebutton Games,2990
TPP Studio,2987
Eggcode,2939
Limbic Entertainment,2895
Knuckle Cracker,2875
"Jackbox Games, Inc.",2863
Piranha Games Inc.,2844
Home Net Games,2834
Jutsu Games,2832
Landfall,2814
Gamious,2795
"MicroProse Software, Inc",2766
Cyanide Studios,2708
DL Softworks,2690
Counterplay Games Inc.,2675
Love in Space,2652
Blue Manchu,2647
Blue Bottle Games,2628
"Level Up Labs, LLC",2586
Raymond Doerr,2571
Image & Form Games,2539
DotEmu,2512
Gaddy Games,2492
S2 Games,2480
MuHa Games,2474
Athena Works,2470
Dire Wolf Digital,2464
Behold Studios,2459
Downpour Interactive,2454
Cherry Pop Games,2411
Elecorn,2409
Silent Dreams,2401
Gaming Minds Studios,2376
Coredumping,2360
CreativeForge Games,2297
Tindalos Interactive,2272
Nomad Games,2217
Infinity Plus 2,2210
Codename Entertainment Inc.,2209
Goldhawk Interactive,2160
Game in a Bottle,2091
Illwinter Game Design,2089
Anisoptera Games,2085
Best Way,2026
Łukasz Jakowski,2014
Blackbird Interactive,1991
"Nippon Ichi Software, Inc.",1985
Rogue Factor,1982
Hyper Hippo Games,1982
Logic Artists,1973
David Stark,1955
Heluo Studio,1934
Lightmare Studios,1929
The Men Who Wear Many Hats,1898
Shawn Hitchcock,1893
Ino-Co Plus,1889
Mohawk Games,1844
Bulwark Studios,1829
Panoramik Inc,1828
Rocket Bear Games,1827
Topware Interactive,1826
Egosoft,1825
Robotronic Games,1811
Divine Games,1803
NEXT Studios,1779
Mode 7,1762
Black Shell Games,1755
Elixir Studios,1752
DR Studios,1744
Freehold Games,1737
"Arcen Games, LLC",1710
Stray Fawn Studio,1685
Light Bringer Games inc.,1684
NGD Studios,1671
Data Realms,1665
Out of the Park Developments,1653
Days of Wonder,1652
treeform,1623
Clarus Victoria,1612
1C Entertainment,1607
Creoteam,1602
Blackfire Games,1596
Baggy Cat Ltd,1583
Marco Amadei,1582
Passtech Games,1563
Power of 2,1544
EarthWork Games,1524
ClockStone,1512
Maschinen-Mensch,1508
Killerfish Games,1498
"KOEI TECMO GAMES CO., LTD.",1491
Cats Who Play,1488
Tortuga Team,1487
Snowbird Games,1476
Kite Games,1472
Pipliz,1470
Brilliant Game Studios,1464
Rune Forge,1462
Section Studios,1456
SomaSim,1439
Eden Industries,1433
5 Lives Studios,1420
GrizzlyGames,1413
Battlecruiser Games,1410
Milkstone Studios,1399
Blendo Games,1370
Spiderweb Software,1364
Idea Factory,1352
Artifice Studio,1339
Konstructors Entertainment,1339
Periscope Games,1333
Impressions Games,1330
Survios,1305
Hovgaard Games,1301
Destructive Creations,1288
Maverick Game Studio,1284
BlueLine Games,1273
Valsar,1242
Meta Interaction,1241
Camshaft Software,1234
Hesketh Studios Ltd,1233
Pragmatix Ltd,1225
Cavedog Entertainment,1218
Little Green Men Games,1202
Twice Circled,1201
Bob,1195
Pipeworks Studio,1194
ProjectorGames,1175
Capybara Games,1136
"ZiMAD, Inc.",1135
"Cloudcade, Inc.",1110
"Schine, GmbH",1080
Hoplon,1079
"Playdek, Inc.",1078
TreeFortress Games,1073
Noble Master LLC,1059
3Division,1058
NoClip,1054
Matt Roszak,1054
"Massive Damage, Inc.",1053
Playata GmbH,1046
Vox Games,1042
The Battle for Wesnoth Project,1035
Cheerdealers,1035
Crytivo,1034
A.Y.std,1033
Full Control Studios,1032
Slug Disco Studios,1010
1C-SoftClub,1007
Airtight Games,999
Petit Depotto,994
Apoapsis Studios,993
Zen Studios,975
LVGameDev LLC,971
Snail Games USA,968
Question,965
Two Tribes,952
QCF Design,952
Low Magic Studios,951
GolemLabs,942
Ironward,941
"Grey Havens, LLC",940
Martin Ivanov,931
Black Sea Studios Ltd,929
Altar Games,927
Signal Studios,924
AutoAttack Games,918
Jan Zelený,913
NeocoreGames,909
Dapper Penguin Studios,908
Oddworld Inhabitants,902
Misfits Attic,898
GSQ Games,892
Dynamic Pixels,891
Shining Pixel Studios,889
Mindillusion,885
DoubleBear Productions,879
Katauri Interactive,874
Daedalic Entertainment,862
Sick Puppies,861
Berzerk Studio,849
Polymorph Games,842
O'olBlue Inc.,841
Strategy First,838
Microblast Games,818
Proxy Studios,813
RLR Training Inc,803
Kremlingames,791
Kyy Games,789
Chucklefish,788
Zero-K Team,786
Choice Provisions,781
MyACG Studio,779
Trese Brothers,776
LongYou Game Studio,772
Blue Brain Games,768
FlyAnvil,767
No Moon,765
Coatsink,765
Dan Walters,758
EXOR Studios,758
Croteam,757
AurumDust,751
BKOM Studios,748
Aterdux Entertainment,745
Halfbus,743
SuperVillain Studios,743
Suncrash,732
PlayFlock,722
Virtual Basement LLC,717
Oxymoron Games,717
Satur Entertainment,717
"Valkyrie Entertainment, LLC",697
Hammerfall Publishing,690
Graviteam,689
Puppygames,679
Pixel Gangsta Studio,674
WeShare Game Studio,672
Anteater Games,672
Pyro Studios,667
Big Boat Interactive,664
Fishlabs Entertainment GmbH,664
Holyday Studios,651
Sandstorm Studios Inc.,650
"Nicalis, Inc.",648
ZOV GAME STUDIO,646
Handelabra Games Inc.,640
Screeps,639
14° East,637
Event Horizon,637
Leslaw Sliwko,631
Square Enix Montréal,630
The Quadsphere,630
Luminous,629
Lion's Shade,625
Endless Loop Studios,622
Code Force,618
Stainless Games Ltd,610
阿正不经,609
Soccer Manager Ltd,605
Convoy Games,601
Mi-Clos Studio,596
Dandylion,596
Trilum Studios,594
Grid Sage Games,593
"Shanghai JingCai Computer Software Development Co., Ltd",589
Dream Reactor,584
Eforb,580
Blazing Griffin,570
Alda Games,564
BattleGoat Studios,553
DryGin Studios,553
Black Lab Games,552
Lunarch Studios,551
Empires,548
Spellbound,546
Jon Gallant,543
Spiritwalk Games,542
"Hassey Enterprises, Inc.",538
NukGames,536
Kukouri,536
"Gunpowder Games, LLC",533
橙光游戏,532
PopTop,530
CUTE ANIME GIRLS,527
Snapshot Games Inc.,527
Arzola's,526
Great War Team,521
"POCKET PAIR, Inc.",516
Uber Entertainment,515
The Quantum Astrophysicists Guild,511
Alientrap,509
Spry Fox LLC,509
Hamsters Gaming,506
Big Sandwich Games,505
Alawar Entertainment,499
Blue Byte,497
Corroding Games,494
Enlight Software Limited,488
Rob Howland,486
Eidos Studio Hungary,486
Reflect Studios,479
Grizlikyt,478
FlipSwitch Games,478
Hex Entertainment,475
Adventurepro Games LLC,475
Erik Asmussen,475
EightyEightGames,474
Goblinz Studio,472
Super Evil Megacorp,472
Kittehface Software,471
Strange Loop Games,470
Robotality,470
Yakiniku Banzai,465
Blindflug Studios AG,465
RocketWerkz,460
Plethora-Project LLC,459
Stolen Couch Games,459
CCCP,457
Straylight Entertainment,454
The Artistocrats,451
Reality Pump Studios,445
Dark Energy Digital Ltd.,443
17-BIT,442
Mola game,435
Cobra Mobile,434
Just1337 Studio,434
Flix Interactive,432
Phaser Lock Interactive,426
Evil Twin Artworks,425
White Wizard Games,422
Mothership Entertainment LLC,420
AtomicTorch Studio,420
Invent4 Entretenimento,415
Nerdook Productions,414
Alice & Smith,410
Funktronic Labs,409
Visual Entertainment And Technologies,405
Mokus,404
WarfareSims,403
SimTex,401
Fan Shi,398
CGE Digital,397
Coffee Powered Machine,394
