developer,votes
"Psyonix, Inc.",220745
DoubleDutch Games,19399
Criterion Games,16882
Kunos Simulazioni,14406
Oovee® Game Studios,14077
Red Dot Games,14049
BeamNG,13632
Nadeo,11610
Amistech Games,11538
Slightly Mad Studios,9701
Bugbear Entertainment,8459
Targem Games,8215
Bugbear,6348
GrizzlyGames,5050
Flippfly LLC,4915
Ivory Tower in collaboration with Ubisoft Reflections,4843
Milestone S.r.l.,4423
Artefacts Studios,3886
Playsport Games,3790
"EQ-Games , Pixel Dash Studios",3732
Refract,3710
Codemasters,3539
ACE Team,3435
CarX Technologies,2674
34BigThings srl,2177
Gamepires,2130
Codemasters Birmingham,1869
"Vblank Entertainment, Inc.",1762
Exor Studios,1669
Sector3 Studios,1633
Reiza Studios,1529
Eutechnyx,1466
SimBin,1414
Paul Bird,1387
Caged Element Inc.,1343
EA Black Box,1270
Marco Amadei,1139
DNVR Prod,1118
RageSquid,1091
Hoplon,1079
FOAM Entertainment,1045
AbstractArt,1038
Neognosis,1025
Steel Monkeys,994
SEGA,967
Tate Multimedia,941
"Forward Development, Ltd.",938
KT Racing,867
Falcoware,846
Studio 397,830
JDM4iK,828
LuGus Studios,790
Techland,777
HakJak Productions,766
Shortbreak Studios s.c.,709
Flashbulb,682
Digital Reality,673
Aquiris Game Studio,664
Stainless Games Ltd,660
Moonbyte,593
Milkstone Studios,580
Brian Lindenhof,580
Pixeljam,541
Drift Physics Crew,529
NukGames,527
"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",526
M2H,524
Black Rock Studio,510
Brian Cronin,479
FlipSwitch Games,478
Real Dynamics,465
Sumo Digital,441
Forever Entertainment S. A.,440
ansdor,424
Vector Unit,422
Copybugpaste,407
ObsessionSoft,400
Electric Hat Games LLC.,375
Nanjing AQUATRAX,375
SimBin Studios AB,360
Survios,359
RoKo0 (Roman Konyukhov),354
TreeFortress Games,350
Whoop Group,341
"Bimboosoft Co.,Ltd.",327
Ubisoft Reflections,321
Altfuture,314
Phr00t's Software,295
Digital Cybercherries,287
Owlchemy Labs,282
Trichotomy,271
Toffee Games,269
Black Delta,259
Code Mystics,253
Freshly Squeezed,248
Torched Hill,245
The Binary Mill,242
MercuryStudio,240
Tiny Lab Productions,238
Image Space Incorporated,238
LucasArts,235
Digital Reality Software & Playbox,235
Frontier,234
Playrise Digital Ltd.,234
Milky Tea Studios,230
NEOWIZ,224
XYLA Entertainment,212
"CINEMAX, s.r.o.",209
Rainbow Studios,208
Tree Men Games,207
The Drone Racing League,202
Retrific,195
SoftPlanet,189
5Wolf,187
Maciej Kuzianik,183
HFM Games,182
Sanzaru Games Inc.,177
Noumenon Games,169
Supersonic Software,165
Turnopia,165
Synetic,164
K-D Lab,164
Gamious,160
One Legged Seagull,153
"Buddy Cops, LLC",147
Quiet River,147
Dmitry Medvedev,147
Virtual Racing Industries Ltd.,145
Twisted Pixel Games,144
Five Studios Interactive,144
Artplant,143
For Kids,143
Redlynx,136
MadOut Games,136
MGP Studios,136
SCS Software,134
VladCastillo,131
Studio Monolith,124
Oddrok,124
Beenox,124
Pixel Maniacs,122
Aurelien Regard,120
DDD Wares,117
Devm Games,117
][ Games Inc,115
Ivory Tower,114
Red River Studio,113
"SAINT-FUN INTERNATIONAL CO., LTD.",112
SC Jogos,111
Onion Soup Interactive,111
1C-Avalon,109
Creative Pudding Hungary Llc.,109
3DClouds.it,107
Data Realms,106
Hello Games,103
Torus Games,103
Princesseuh,102
Birdwall Games,102
Remedy,102
Missing Digit,99
Bigmoon Entertainment,99
Varkian Empire,98
LLC Intenzibne,97
ArtVostok,94
Creat Studio,94
BUGBEAR,91
neko.works,88
Incodra,88
Applimazing,88
MarineVerse,87
Luden.io,87
Exquisite Games,87
KishMish Games,86
Three Fields Entertainment,81
Tammeka Games,81
Cruderocks,80
Tall James Games,80
AIVIK LLC,80
GDT Limited,77
Digital Arrow,77
"Acceleroto, Inc.",76
Xform,74
Fun Sponge Games,70
Wonderful Lasers,70
On5,69
Anea_Duo_Dev,69
Eclipse Games,69
17Studio,67
RedLynx,66
Petrodiy-Games,66
Let it roll AB,63
Brinemedia,63
New Star Games Ltd,62
VertexBreakers,62
Concrete Games,60
VooFoo Studios,59
Eugeny Butakov,59
Beavis Soft,59
Linkus Studio,58
onebraverobot,58
PikPok,57
trasnatech,57
Isojumper,57
Zordix AB,57
Earthbound Games Ltd.,54
Struckd AG,53
Glass Bottom Games,52
DreamEscape,51
Gugila,51
Unique Development Studios AB,50
dopagames,50
GRIP Digital s.r.o.,48
Artur Berkowski Berobasket,48
Play Native Entertainment,48
Betterburg,47
Saber Interactive,47
Cherry Pie Games,47
gearspecs,47
Kylotonn Entertainment,46
GameArt Studio GmbH,46
Interactive Productline Team,46
Monster Games,46
Kain Swartzbaugh,45
