developer,votes
"Psyonix, Inc.",220745
VRChat Inc.,22495
DoubleDutch Games,19399
Kunos Simulazioni,14406
Blacklight Interactive,14223
BANDAI NAMCO Studios Inc.,12237
Expansive Worlds,11408
Fishing Planet LLC,7255
Team Reptile,6533
Bugbear,6348
Stegersaurus Software Inc.,6157
Slightly Mad Studios,6094
GrizzlyGames,5050
Messhof,4722
Sports Interactive,4533
Milestone S.r.l.,4181
"Dragonfly GF Co., LTD",3791
Playsport Games,3790
Joycity,3589
Nadeo,3393
Against Gravity®,3206
Codemasters,3004
Cyanide Studios,2927
Erik Asmussen,2896
CarX Technologies,2674
Perfuse Entertainment,2475
Cherry Pop Games,2411
Gamepires,2096
Unusualsoft,1672
Out of the Park Developments,1653
Sector3 Studios,1633
Creoteam,1602
Reiza Studios,1529
Paul Bird,1491
Codemasters Birmingham,1395
Supra Games,1180
Roll7,1144
Marco Amadei,1139
Hoplon,1079
Easy Day Studios Pty Ltd,1061
For Fun Labs,1047
Russian Fishing,1041
Mash Games,1035
PixelFade Inc,1026
Soccer Manager Ltd,1008
Merixgames,957
"Spike Chunsoft Co., Ltd.",946
Tate Multimedia,919
Bit Golem,903
JDM4iK,865
Metalhead Software Inc.,856
Falcoware,846
Studio 397,830
Ian Fitz,790
LuGus Studios,790
Iceflake Studios,696
Lion's Shade,691
Aquiris Game Studio,664
High Horse Entertainment,661
Big Ant Studios,649
HB Studios,642
RageSquid,604
Survios,602
"Alzan Studios, LLC",551
Drift Physics Crew,529
vikingfabian.com,517
Uber Entertainment,515
Breakfall,499
Stamina-Games,484
Brian Cronin,479
M. Hanka,477
Real Dynamics,465
"Dejobaan Games, LLC",444
Forever Entertainment S. A.,440
Biart Company LLC,432
Digital Cybercherries,405
ObsessionSoft,400
Dead Shark Triplepunch,389
Loren Lemcke,386
FitXR,385
Glacier Labs,379
Creative Storm Entertainment,379
Poolians.com,376
Halfbrick Studios Pty Ltd,371
Dovetail Games,370
TreeFortress Games,358
SimBin Studios AB,350
One Hamsa,344
Agharta Studio,340
Digital Dreams Entertainment LLC,337
White Rabbit Games,332
"Bimboosoft Co.,Ltd.",327
Crian Soft,320
Team17 Digital Ltd,312
Microblast Games,307
Just Fishing LLC,305
Axis Games,302
Oleg Skutte,299
Mana Games,298
Majorariatto,294
Vector Unit,291
Trichotomy,271
Size Five Games,263
SEGA,263
PolyDigital,262
DOG HOGGLER,262
Black Delta,259
Code Mystics,253
Vivid Games S.A.,251
Game Swing,245
Image Space Incorporated,238
IOSoccer Team,237
Crazy Rocks Studios,232
Arc System Works,224
Magic Pixel Kft.,224
Johannes Eski,218
Stitch Heads Entertainment,211
"Hangzhou Xinlan Network Technology Co.,Ltd.",211
Overgroup,207
The Drone Racing League,202
Batovi Games Studio,201
MumboJumbo,200
Whale Rock Games,192
SoftPlanet,189
Futuretown,187
Kinelco & Lone Elk Creative,186
Maciej Kuzianik,183
Hugecalf Studios,181
Pavel Jamal,175
Solecismic Software,172
Turnopia,165
CCP,159
Vivid Games,159
Grab Games,155
One Legged Seagull,153
Roman Uhlig,148
Leiting Interactive,147
PrinceXI,147
PERFECT PARALLEL,146
Virtual Racing Industries Ltd.,145
Five Studios Interactive,144
Artplant,143
Samuel Manier,143
Moonradish Inc.,140
narayana games UG,139
Redlynx,136
MadOut Games,136
Cyanide Studio,135
Ripstone,135
Blam! Games LLC,133
StormBrewers,133
Mikori Games,132
Ezzat Studios,131
Grey Dog Software,130
Monad Rock,130
JCO,126
Pixel Edge Games,123
Celeris,120
Mode 7,119
metricminds GmbH & Co KG,117
10tons Ltd,111
Onion Soup Interactive,111
Linkflag Studio,109
Yeah Us!,107
3DClouds.it,107
BYU Animation -  Class of 2017,105
Creative Concepts,104
Crazy Rocks,104
MDickie,101
Bigmoon Entertainment,99
Studio Bean,98
Saber Interactive,97
哈视奇科技,96
Powerhoof,93
MarineVerse,93
carla51,92
Ivanovich Games,91
neko.works,88
Applimazing,88
HB Studios Multimedia Ltd.,87
MERJ Media,87
"Action Button Entertainment, LLC",87
Big Head Games Ltd,87
New Star Games,85
Master Indie,84
"COLOPL, Inc.",82
Cruderocks,80
"Truant pixel, LLC",80
AIVIK LLC,80
Spaceboy Games,79
Galactic Gaming Guild,78
Bean Boy Games,77
Reddoll Srl,76
Rainbow Studios,73
Simple Ghost,71
Fun Sponge Games,70
Isokron,69
On5,69
Robot Riot UG (haftungsbeschränkt),69
Fedora Collective,68
Sproing,68
Z4,67
DL Softworks,67
Dancing Developers,66
Petrodiy-Games,66
Supertype,66
RISING GAME,66
Startreming,65
Kiddy,64
Let it roll AB,63
Lisa Voronova,63
OutOfTheBit Ltd,63
VertexBreakers,62
Bowlcut Studios,61
Concrete Games,60
Strategic Designs Ltd.,60
Eugeny Butakov,59
Childish Things,59
Linkus Studio,58
V7 Entertainment Inc.,58
Ramjet Anvil,57
trasnatech,57
Zordix AB,57
PHL Collective,56
Intergalactic Education LLC,55
Easy game,55
The Binary Mill,55
Earthbound Games Ltd.,54
Alternative Software Ltd,54
Bulldog Interactive,54
New Star Games Ltd.,54
Miikka Åsnabrygg,54
VRUnicorns,53
Craftven,53
Gugila,51
invrse studios,51
Unique Development Studios AB,50
TuneTheDev,50
Myarcadegames Studios,49
"Aargle, LLC",48
GRIP Digital s.r.o.,48
Play Native Entertainment,48
No Goblin,47
"Player Of Music Technology Co.,Ltd",47
Pixeljam,46
Running Hoffman,46
Afterburn,45
Great Boolean,45
Immersion,45
Cybernetic Walrus,45
Bartoš Studio,45
Dev9k,44
Wicked Witch Software,44
BeTomorrow,44
Ubisoft Montpellier,44
DarkTigerDevelop,44
Retrific,43
Rekim,43
34BigThings srl,42
"Sports Mogul, Inc.",42
Cryptic Sea,41
Isaac Stearns,41
PiBoSo,41
Bill and Eli Productions,41
Wrestling Gamers United,41
HYPYRYL,41
Smyowl Game Studio,39
Waynetron,39
Ninja Whale Studios,38
VersoVR,38
Sadetta,37
Mad Triangles,37
MNGOVR,37
Render Cube,37
Black Jacket Studios,36
U24 Solutions,36
"Reailty Smash, Inc.",36
Frogshark,36
Jeff Weber,35
Super X Studios LLC,35
diman production,34
Pippala Games,34
FX Game Studio,34
Wizard Games Inc,34
U-Play Online,34
WooJuDev,33
EvilCoGames,33
Hatrabbit Entertainment,33
Zen Studios,33
Waveor,32
Famiku,32
Wild Planet Studio,32
Barkers Crest Studio LLC,32
4-Panel Footprint,31
nobodyshot,31
Combo Breaker,31
Eendhoorn Games,31
Eclipse Games,31
Arrowiz,30
Contours,30
devotid,30
Cinemaware,30
Dark Duo Games,30
Galulugame,29
HandyGames,29
Rightstick Studios,29
Namo Gamo,29
FastGame,29
Perilous Orbit,29
Lord of the Stack,28
"Beijing Skyline Interaction Technology Co., Ltd.",28
Trophy Games ApS,28
Spotted Zebra Software LLC,27
SGS Team,27
GameArt Studio GmbH,27
Die Gute Fabrik,27
Solid Core,27
TGI Game Studio,27
SAT-BOX,26
Happion Labs,26
Coldwood Interactive,26
SimProse Studios,26
Hero Blocks ApS,26
FiveStarGames,26
Gromov Technologies,26
GAMES FOR HUMANS,26
Free Range Games,25
"Strength in Numbers Studios, Inc",24
Invictus Games Ltd.,24
Pixel Cream,24
IguanaBee,24
Rank17,24
Road Turtle Games,24
Helium9 Games,24
Timedrop Studios,23
Glitchr Studio,23
Hello There Games,23
meokigame,23
David Erosa,23
Kestrel Games,23
Dangerous Derk Interactive,23
绚丽奈落,23
DRUNKEN APES,23
Arcade Injection,22
Supergonk,22
Captain Games,22
Reality Reflection,22
Laush Dmitriy Sergeevich,22
Flux Game Studio,22
bumblebee,22
Wanako Games,22
PROJECT YNP,21
Render System,21
Malzbie Games,21
Vision Reelle,21
Tipping Goat LLC,21
RewindApp,21
LastnOni,20
Impostor Cat Games,20
Boogygames Studios,20
773,20
Milkbag Games,20
FrozenPepper S.R.L,20
2 Bears Studio,20
WEBZEN ONNET,19
ASBO Interactive,19
RagTagRadical,19
Forceight,19
VirZOOM,19
Graffiti,19
WANDV.INC,19
BulatHard,19
rese,18
iconical Ltd.,18
Happy Badger Studio,18
Mana Wings,18
Aggroblakh,18
"A & B Game Studios, LLC",18
House House,18
3GoGames,18
Thorsten Schleinzer,18
Bellcat Game,18
Surreal Games,18
Unfinished Pixel,17
Catze,17
Frame Interactive,17
Brian Macumber,17
Serious Tangents,17
SuperSmashingGreat Games,17
emergeWorlds,17
Rusto,17
AncientSky Games,17
Ara Interactive,16
Gus Martin,16
Poly Poly Games,16
YJM VR,15
Ge Yin,15
Josep Monzonis Hernandez,15
Himi Games,15
GexagonVR,15
Kerry Batts,15
Midas Touch Game,15
Polyverse Studio,15
uGen Inc.,15
Viraug,15
Star Legion,15
Greyish Games,14
Neutron Games,14
VACTOR,14
Diamond Cats Studio,14
Dayn,14
Mergin Studio,14
ArticNet,14
BufoProject,14
Nefrace,14
Spellbook,14
RunByCoffee,14
Loot Inside,14
Artur Rezende,14
Joey Sipos,13
Gobbo Games,13
David Lewis,13
BoninblueDesignLab,13
Yheeky Games,13
DigitalBadger Design,13
Mindstorm Studios,13
NiVision,13
Neuston AB,13
Liftoff Labs,13
Codemodeon,13
Applava,13
MXTreality,13
Bass Pro Shops,13
nocanwin,12
Childish Things Ltd,12
NEXION,12
Five Mind Creations UG (haftungsbeschraenkt),12
XLGAMES.Inc,12
Winnie Song,12
Jeremy Gable,12
Kawaiisun Games,12
Mojiken Studio,12
Rodaja,12
The Mill,11
"All-Star Apps, LLC",11
The Secret Location,11
Hero Game,11
"SynapticSwitch, LLC",11
PolyGryph Studios,11
Part Time Monkey,11
Potato Games,11
Rawkins Games,11
Cover Corp.,11
Mystik'art,11
MT Worlds,11
Climax Studios,11
Søren Trautner Madsen,11
Indomitus Games,11
Rising Fun Games,11
SlinDev,11
Flying. Stone. Production,11
"After Sunset Games, LLC",11
Dysotek,11
netmin games,11
Kev Jackson,10
Hypergolic Games,10
Hermann Fischer,10
Coduar,10
no-pact,10
KinifiGames LLC,10
DanD,10
8-bit development,10
Kevin Suckert,10
Metaverse,10
Tommosaur,10
Enrick Lambert,10
Lab42,9
Goin' Yumbo Games,9
bad monkee,9
Matt Glanville,9
Apache,9
Mariano Larronde,9
Kaj Forell Video Game Brand,9
King Crow Studios,9
Handelabra Games Inc.,9
Uranium Soda Studio,9
Prism Interactive Entertainment Inc.,9
DitzelGames,9
Appnori Inc.,9
ViRa Games,9
Curiosity Computing,9
Standby,9
Meltdown Interactive Media,9
Onteca Ltd,9
LAS Team,9
Vagabond Dog,9
26k,9
Koo Games Ltd,9
"Tricol Co., Ltd.",9
Luke Sanderson,9
StudioQi,9
Evoluta Studio,8
CrazyAi,8
VRGEN,8
Sky Coder,8
Curse Box Studios,8
FRS Game Studio,8
Lumenox ehf,8
Jolly Crouton Media Ltd.,8
Technicat LLC,8
Raptor Claw Games,8
Pixel Sunset Studio,8
Virtual Vengeance,8
dimeStudios,8
Milpitians,8
"Gotham City Films, LLC",8
Icehole Games,8
WISECAT,8
Redlynx Ltd,8
Happy Hobgoblin,8
Black Poodle Entertainment,8
Delirium Studios,8
RageQuit Studios,8
Lubiterum,8
Microlith Games,8
baKno Games,8
Acid Cat,7
Hailstone Games,7
N.R. Burnette,7
Bullid Games,7
Big Hit Games,7
Patrick Hofmann,7
