developer,votes
Valve;Hidden Path Entertainment,2242091
Valve,2016604
Ubisoft Montreal,282446
Smartly Dressed Games,261092
OVERKILL - a Starbreeze Studio.,252134
Re-Logic,247803
"Psyonix, Inc.",220745
Digital Extremes,217272
Rockstar North,190472
Facepunch Studios,166661
Bohemia Interactive,153386
Evil Mojo Games,137173
Gearbox Software;Aspyr (Mac);Aspyr (Linux),133574
Tripwire Interactive,129694
"CAPCOM Co., Ltd.",117304
DONTNOD Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),114138
id Software,106794
New World Interactive,102890
Endnight Games Ltd,101579
Obsidian Entertainment,100920
The Behemoth,98978
Behaviour Digital Inc.,95653
"FromSoftware, Inc.",90459
