Model,Family,Line,Platform,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock,All Core Boost Speed,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version AMD EPYC™ 7002 Series,Thermal Solution PIB,Default TDP / TDP AMD EPYC™ 7002 Series,cTDP,Max Temps,System Memory Specification AMD EPYC™ 7002 Series,System Memory Type,Memory Channels,Per Socket Mem BW,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,DisplayPort,HDMI,DVI,VGA
X1150,AMD Opteron™,AMD Opteron™ X1100 Series Processors,Server,,4,4,,,2GHz,,,,2MB,,No,28nm,FT3,,n/a,,17W,,70°C,800MHz,DDR3,,,,,,,,,,
X940,AMD Phenom™,AMD Phenom™ II Black Edition Quad-Core Mobile Processors,Laptop,,4,4,,,2.4GHz,,,512KB,2MB,,Yes,,S1,,n/a,,45W,,100°C,,DDR3,,,,,Discrete Graphics Card Required,,,,,
TL-64,AMD Turion™,AMD Turion™ 64 X2 Dual-Core Mobile Technology,Laptop,,2,2,,,2.2GHz,,,,1MB,,No,,S1,,n/a,,35W,,95°C,667MHz,DDR2,,,,,Discrete Graphics Card Required,,,,,
TL-60,AMD Turion™,AMD Turion™ 64 X2 Dual-Core Mobile Technology,Laptop,,2,2,,,2GHz,,,,1MB,,No,,S1,,n/a,,31W,,,667MHz,DDR2,,,,,Discrete Graphics Card Required,,,,,
TL-56,AMD Turion™,AMD Turion™ 64 X2 Dual-Core Mobile Technology,Laptop,,,,,,1.8GHz,,,,,,No,,S1,,n/a,,31W,,,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
TL-52,AMD Turion™,AMD Turion™ 64 X2 Dual-Core Mobile Technology,Laptop,,2,2,,,1.6GHz,,,,2MB,,No,,S1,,n/a,,31W,,,,Not Listed,,,,,Discrete Graphics Card Required,,,,,
Sempron™ 3850 APU with Radeon™ R3 Series,AMD Sempron™,AMD Sempron™ Quad-Core APU,Desktop,,4,4,,,1.3GHz,,,256KB,2MB,,No,28nm,AM1,,,,25W,,90°C,1600MHz,,1,,450 MHz,,AMD Radeon™ R3 Graphics,128,Yes,Yes,,
Sempron™ 2650 APU with Radeon™ R3 Series,AMD Sempron™,AMD Sempron™ Dual-Core APU,Desktop,,2,2,,,1.45GHz,,,128KB,1MB,,No,28nm,AM1,,,,25W,,90°C,1333MHz,,1,,400 MHz,,AMD Radeon™ R3 Graphics,128,Yes,Yes,,
P860,AMD Phenom™,AMD Phenom™ II Triple-Core Mobile Processors,Laptop,,3,3,,,2GHz,,,384KB,1.5MB,,No,,AM2+,,n/a,,35W,,100°C,,DDR3,,,,,Discrete Graphics Card Required,,,,,
P650,AMD Phenom™,AMD Phenom™ II Dual-Core Mobile Processors,Laptop,,2,2,,,2.6GHz,,,256KB,2MB,,No,,S1,,n/a,,35W,,100°C,,DDR3,,,,,Discrete Graphics Card Required,,,,,
