Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
1,AMD,80386,,,Am386DX,,40.0,,1,1,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD,,0.8,0.8,,,288.0,,"mul(360,channel_length)"
2,AMD,80486,DX,,Am486,1993-03-01,40.0,,1,1,3.0,32,0.93,89,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,AMD,,0.5,0.5,3,,180.0,5.0,"mul(360,channel_length)"
3,AMD,Athlon,Pluto,K75,550,,550.0,,1,1,,,,,,,,,24.999999999999996,20.599999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
4,AMD,Athlon,Pluto,K75,600,1999-11-29,600.0,,1,1,,,,,,,,,27.199999999999992,21.499999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
5,AMD,Athlon,Pluto,K75,650,,650.0,,1,1,,,,,,,,,29.300000000000004,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
6,AMD,Athlon,Pluto,K75,750,1999-11-01,750.0,,1,1,,,22.0,102,1.8,1.8,,,32.89999999999999,24.845925219238666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,1.8,"mul(360,Leff)"
7,AMD,Athlon,Pluto,K75,800,,800.0,,1,1,,,,,,,,,34.900000000000006,26.699999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
8,AMD,Athlon,Pluto,K75,850,,850.0,,1,1,,,,,,,,,36.900000000000006,27.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
9,AMD,Athlon,Pluto,K75,900,,900.0,,1,1,,,,,,,,,37.800000000000004,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
10,AMD,Athlon,Thunderbird,K75,1000,2000-05-01,1000.0,,1,1,49.0,32,37.0,120,1.8,1.8,,,42.44761477397757,29.400000000000002,,298.00000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,256,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,1.8,"mul(360,Leff)"
11,AMD,Athlon,Thunderbird,K75,1100,,1100.0,,1,1,,,,,,,,,,,,310.99999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,256,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
12,AMD,Athlon,Thunderbird,K75,1200,,1200.0,,1,1,,,,,,,,,,,425.6606629699299,337.9243321156059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,256,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
13,AMD,Athlon,Thunderbird,K75,1300,,1300.0,,1,1,,,,,,,,,,,438.0000000000001,348.00000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,256,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
14,AMD,Athlon,Thunderbird,K75,1333,,1333.0,,1,1,,,,,,,,,,,481.99999999999994,413.99999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,256,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
15,AMD,Athlon,Thunderbird,K75,1400,2001-06-01,1400.0,,1,1,56.0,,,120,1.8,1.8,,,,,495.0,426.00000000000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,256,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,1.8,"mul(360,Leff)"
16,AMD,Athlon 64,,K8,2100+,,1200.0,,1,1,,,,,,,,,,,,,5.75,6.22,5.53,4.38,4.45,5.74,6.1,5.9,5.67,8.22,9.21,4.84,4.21,6.7,8.99,5.98,6.71,5.4,5.36,6.24,5.85,5.22,8.12,5.28,6.97,3.15,6.04,6.58,8.05,7.21,7.19,,64,64,512,,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
17,AMD,Athlon 64,ClawHammer,K8,3000+,,2000.0,,1,1,89.0,64,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,1.5,"mul(360,Leff)"
18,AMD,Athlon 64,ClawHammer,K8,3200+,,2000.0,,1,1,,,,,,,,,,,1265.9999999999995,1179.9999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
19,AMD,Athlon 64,ClawHammer,K8,3500+,,2600.0,,1,1,,,,,,,,,,,1268.9999999999998,1699.9999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
20,AMD,FX,SledgeHammer,K8,FX-51,,2200.0,,1,1,,,,,,,,,,,1328.168663988124,1349.836656784812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
21,AMD,FX,SledgeHammer,K8,FX-53,,2400.0,,1,1,,,,,,,,,,,1611.9624685457154,1548.8318178549932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
22,AMD,FX,ClawHammer,K8,FX-55,2004-06-01,2600.0,,1,1,89.0,,105.9,193,1.5,1.5,,,,,1664.4068012358034,1717.8460350101225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.13,0.07,,,25.2,1.5,"mul(360,Leff)"
23,AMD,FX,San Diego,K8,FX-57,2005-06-01,2800.0,,1,1,104.0,,114.0,115,1.4,1.4,,,,,1802.550970153132,1945.2516546709323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.4,"mul(360,Leff)"
24,AMD,FX,Toledo,K8,FX-60,2006-01-01,2600.0,,1,2,110.0,64,233.0,199,1.3,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
25,AMD,FX,Windsor,K8,FX-62,2006-07-01,2800.0,,1,2,125.0,64,243.0,220,1.35,1.35,,,,,1880.5310420197807,1944.4999357161203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
26,AMD,Athlon 64 X2,Manchester,K8,4200+,2005-05-31,2200.0,,1,2,,,,,,,,,,,1377.6048054503885,1465.9658931912434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
27,AMD,Athlon 64 X2,Brisbane,K8,5000+,2006-06-01,2600.0,,1,2,65.0,64,154.0,126,1.25,1.25,,,,,1573.5412292024628,1641.466417566927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.25,"mul(360,Leff)"
28,AMD,Athlon 64 X2,Brisbane,K8,6000+,2007-02-01,3100.0,,1,2,125.0,64,227.0,220,1.3,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.35,"mul(360,Leff)"
29,AMD,Athlon 64 X2,Brisbane,K8,6400+,2007-08-01,3200.0,,1,2,125.0,64,227.0,230,1.35,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.4,"mul(360,Leff)"
30,AMD,Athlon 64 X2,Tyler,K8,TK-42,2007-08-20,1600.0,,1,2,20.0,,,,1.075,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.125,"mul(360,Leff)"
31,AMD,Athlon 64 X2,Lion,,QL-65,2008-10-01,2100.0,,1,2,35.0,64,,,0.95,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.1,"mul(360,Leff)"
32,AMD,Athlon II,Propus,,635,,2900.0,,1,4,95.0,64,,,0.85,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.25,"mul(360,Leff)"
33,AMD,Athlon MP,Palomino,K7,1200,,1200.0,,1,1,,,,,,,,,,,495.0,432.99999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,256,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
34,AMD,Athlon MP,Palomino,K7,1500+,,1333.0,,1,1,,,,,,,,,,,534.0000000000001,472.99999999999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,256,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
35,AMD,Athlon MP,Palomino,K7,1600+,,1400.0,,1,1,,,,,,,,,,,549.9999999999998,482.9999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,256,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
36,AMD,Athlon MP,Palomino,K7,1800+,,1533.0,,1,1,,,,,,,,,,,587.0000000000002,504.00000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,256,,,,,,,,,,,AMD,,0.18,0.1,,,36.0,,"mul(360,Leff)"
